facility_number,facility_type,age_years,expected_life_years,condition_index,remaining_service_life,year_constructed
4614,Data Center,32,40,70,12.63,1993
7803,Ground Terminal T1,23,30,70,8.55,2002
6003,Entry control point,20,30,70,7.28,2005
9816,Fuel intake Facility,21,30,11,11.4,2004
5646,Antenna support building,21,30,70,2.88,2004
7384,Dorm Facility,36,50,70,18.02,1989
5063,Maintenance Shop,35,40,70,0.0,1990
7596,Substation,13,30,70,13.65,2012
4398,Entry control point,30,30,44,6.58,1995
5727,Ground monitoring Station,8,30,70,23.53,2017
5347,Equipment Pad,20,20,70,8.35,2005
6476,Central Utility Plant,30,50,70,26.52,1995
7903,Ground monitoring Station,30,30,70,0.0,1995
3138,Maintenance Shop,35,40,70,10.9,1990
7993,Equipment Pad,20,20,70,8.09,2005
229,Radome Facility,21,30,70,15.36,2004
4623,Communication Facility,40,60,70,12.38,1985
8913,Admin Office,38,40,70,2.94,1987
6679,Switching Station,30,30,69,3.66,1995
2757,Ops Facility T1,21,50,32,23.59,2004
7255,Substation,25,30,70,9.44,2000
6154,Ops Facility T1,16,50,71,34.59,2009
2279,Ground monitoring Station,30,30,70,0.0,1995
5031,Substation,3,30,70,31.23,2022
7223,Truck fill stand,30,30,70,0.0,1995
1938,Fuel Building,15,50,70,32.99,2010
7795,Substation,28,30,70,10.69,1997
6906,UPS Building,4,50,70,38.62,2021
6263,Radome Facility,28,30,70,2.56,1997
6636,Maintenance Shop,18,40,70,19.08,2007
4645,Central Utility Plant,20,50,91,32.46,2005
5588,Communication Facility,36,60,70,21.94,1989
682,Heating - Cooling Plant,22,60,87,32.17,2003
3249,Fuel Farm,22,40,70,19.31,2003
1542,Fuel Farm,23,40,69,19.89,2002
2822,Ground Terminal T1,30,30,70,2.37,1995
3606,Heating - Cooling Plant,11,60,70,51.26,2014
8544,Water Treatment Facility,30,30,70,0.64,1995
5663,Utility corridor,40,60,70,17.47,1985
6859,UPS Building,30,50,70,24.89,1995
9174,Power generation Facility,59,60,70,0.0,1966
9858,Equipment Pad,11,20,70,12.58,2014
8627,Data Center,31,40,70,10.41,1994
8993,Storage Facility,34,60,70,24.12,1991
5052,Receiver Station,30,30,70,1.36,1995
5634,Receiver Station,20,30,70,17.05,2005
9147,Admin Office,25,40,97,19.85,2000
7332,Receiver Station,27,30,70,0.0,1998
3414,Entry control point,30,30,1,5.71,1995
3710,Ground Terminal T1,30,30,70,5.78,1995
7374,Ground Terminal T1,19,30,70,14.05,2006
7966,Utility corridor,40,60,70,16.0,1985
3476,Standby Generator,13,30,70,18.73,2012
1048,Pump Station,1,40,70,53.16,2024
625,Central Utility Plant,29,50,70,20.79,1996
2978,Water Treatment Facility,9,30,70,22.46,2016
9402,Antenna support building,30,30,70,5.5,1995
6994,Fuel Building,7,50,89,45.72,2018
3581,Substation,29,30,70,11.11,1996
4082,Power generation Facility,30,60,70,23.64,1995
1597,Switching Station,30,30,70,0.0,1995
8490,Ops Facility T1,35,50,70,18.22,1990
5231,Switching Station,28,30,70,7.76,1997
5774,Power generation Facility,51,60,70,3.28,1974
2704,Standby Generator,6,30,70,20.06,2019
3120,Ground Terminal T1,30,30,70,0.0,1995
1922,Substation,23,30,70,8.33,2002
8071,Radome Facility,20,30,70,3.31,2005
5498,Ground Terminal T1,27,30,70,2.97,1998
5190,Data Center,15,40,70,34.79,2010
1976,Ground Terminal T1,18,30,23,16.33,2007
8157,Fuel Building,11,50,70,41.72,2014
6989,Dorm Facility,16,50,70,30.34,2009
7757,Fuel intake Facility,30,30,69,0.0,1995
5092,Antenna support building,19,30,70,4.37,2006
2629,Equipment Pad,12,20,29,6.89,2013
3382,Equipment Pad,20,20,70,0.0,2005
3483,Standby Generator,2,30,70,29.05,2023
2516,Fuel Building,37,50,70,21.71,1988
3495,Power generation Facility,36,60,70,25.22,1989
3067,Ground monitoring Station,30,30,70,3.43,1995
5752,UPS Building,37,50,70,13.07,1988
8018,Central Utility Plant,42,50,9,9.68,1983
9507,Equipment Pad,16,20,94,11.86,2009
7680,Utility corridor,33,60,71,25.88,1992
1609,Water Treatment Facility,30,30,70,1.66,1995
4851,Dorm Facility,43,50,70,11.75,1982
2047,Communication Facility,52,60,70,10.88,1973
7331,Pump Station,13,40,70,22.58,2012
2451,Ops Facility T1,9,50,70,40.41,2016
9278,Ground Terminal T1,30,30,70,0.0,1995
7196,Data Center,39,40,70,4.65,1986
7119,Admin Office,9,40,70,32.73,2016
3465,Radome Facility,3,30,70,26.18,2022
8655,Substation,30,30,70,0.0,1995
24,Water Treatment Facility,26,30,70,15.91,1999
4063,Storage Facility,16,60,70,49.06,2009
5896,Power generation Facility,35,60,70,27.12,1990
