facility_number,facility_type,age_years,expected_life_years,condition_index,remaining_service_life,year_constructed
6163,Antenna support building,30,30,4,0.0,1995
3794,UPS Building,19,50,70,31.0,2006
9969,Communication Facility,35,60,70,21.12,1990
4805,Water Treatment Facility,30,30,96,0.0,1995
3182,Storage Facility,17,60,70,39.28,2008
2105,Heating - Cooling Plant,34,60,70,28.39,1991
7183,Pump Station,36,40,69,0.0,1989
7232,Fuel Farm,20,40,70,23.51,2005
4518,Admin Office,22,40,70,19.53,2003
6714,Central Utility Plant,24,50,70,28.52,2001
2538,Power generation Facility,24,60,70,25.59,2001
7176,Dorm Facility,45,50,70,2.49,1980
3581,Admin Office,13,40,70,29.13,2012
2120,Dorm Facility,34,50,88,19.47,1991
2962,Water Treatment Facility,5,30,70,32.96,2020
271,Antenna support building,5,30,70,19.03,2020
4888,Standby Generator,29,30,70,0.0,1996
4594,Fuel Farm,28,40,70,18.02,1997
1816,Switching Station,30,30,70,6.88,1995
354,Power generation Facility,4,60,71,48.6,2021
2174,Ops Facility T1,23,50,70,28.47,2002
3179,Data Center,40,40,70,4.03,1985
8805,Ops Facility T1,47,50,70,11.09,1978
5499,Fuel intake Facility,30,30,70,1.66,1995
6952,Storage Facility,20,60,70,38.52,2005
1605,Admin Office,38,40,70,4.71,1987
7528,Substation,30,30,70,0.0,1995
6997,Ground monitoring Station,21,30,70,13.54,2004
9995,Radome Facility,30,30,70,0.0,1995
8250,Pump Station,33,40,90,3.69,1992
8820,Ground Terminal T1,27,30,70,4.51,1998
5320,Data Center,15,40,70,30.4,2010
1346,Communication Facility,58,60,70,9.29,1967
6507,Standby Generator,30,30,70,3.56,1995
2004,Fuel Building,13,50,70,25.69,2012
6469,UPS Building,50,50,70,0.0,1975
7242,Receiver Station,30,30,70,0.0,1995
7255,Truck fill stand,30,30,70,0.0,1995
5182,Fuel Building,35,50,70,8.47,1990
1224,Communication Facility,3,60,86,55.24,2022
8445,Maintenance Shop,22,40,70,22.55,2003
3933,Antenna support building,10,30,70,24.54,2015
7842,Pump Station,37,40,70,3.73,1988
6737,Fuel Building,10,50,43,40.98,2015
7584,Storage Facility,21,60,70,34.78,2004
6771,Storage Facility,33,60,70,26.44,1992
158,Fuel intake Facility,26,30,70,0.0,1999
5496,Switching Station,29,30,70,0.87,1996
8748,Dorm Facility,27,50,70,18.15,1998
1122,Substation,28,30,70,0.0,1997
256,Radome Facility,30,30,70,0.0,1995
7839,Ops Facility T1,12,50,70,26.82,2013
