facility_number,facility_type,age_years,expected_life_years,condition_index,remaining_service_life,year_constructed
2685,Antenna support building,22,30,70,2.71,2003
8791,Power generation Facility,50,60,70,4.74,1975
3010,Truck fill stand,20,30,70,8.52,2005
9726,Standby Generator,30,30,70,4.36,1995
6490,Maintenance Shop,16,40,70,32.75,2009
2012,Storage Facility,32,60,70,26.21,1993
8932,Heating - Cooling Plant,28,60,69,31.15,1997
1643,Receiver Station,19,30,70,14.61,2006
598,Receiver Station,28,30,70,8.53,1997
9335,Standby Generator,14,30,70,20.84,2011
2929,Water Treatment Facility,14,30,70,11.79,2011
3879,Maintenance Shop,37,40,70,9.1,1988
289,Communication Facility,5,60,70,55.49,2020
2648,Truck fill stand,30,30,70,4.62,1995
6532,Fuel Farm,22,40,70,9.21,2003
6940,Entry control point,22,30,90,2.19,2003
6924,Fuel Building,25,50,70,27.74,2000
4525,Switching Station,20,30,39,1.65,2005
2533,Entry control point,26,30,70,3.53,1999
2499,Dorm Facility,33,50,70,17.22,1992
9236,Storage Facility,22,60,70,36.2,2003
8497,UPS Building,23,50,70,19.63,2002
6126,Admin Office,33,40,70,5.6,1992
4825,Radome Facility,26,30,70,2.17,1999
2814,Pump Station,3,40,27,35.71,2022
577,Admin Office,32,40,70,0.0,1993
9402,Fuel Farm,39,40,70,4.7,1986
690,Standby Generator,18,30,70,12.81,2007
3310,Ops Facility T1,46,50,70,7.27,1979
9240,Central Utility Plant,1,50,69,49.89,2024
3711,Dorm Facility,34,50,70,18.99,1991
5712,Power generation Facility,41,60,70,17.68,1984
6642,Standby Generator,20,30,70,17.76,2005
6900,Truck fill stand,29,30,44,3.55,1996
3588,Water Treatment Facility,18,30,70,11.44,2007
6333,Admin Office,20,40,70,17.85,2005
3807,UPS Building,1,50,70,51.06,2024
1425,Communication Facility,32,60,70,26.86,1993
6323,Radome Facility,21,30,70,4.01,2004
5229,Equipment Pad,20,20,70,0.0,2005
7152,Ops Facility T1,26,50,44,30.89,1999
4882,Heating - Cooling Plant,37,60,70,30.63,1988
9511,UPS Building,32,50,70,9.97,1993
2125,Standby Generator,30,30,70,7.95,1995
814,Central Utility Plant,31,50,70,24.31,1994
7096,Pump Station,15,40,70,15.76,2010
9452,Fuel Building,24,50,70,27.51,2001
2865,Ops Facility T1,41,50,70,3.13,1984
5046,Antenna support building,27,30,70,0.0,1998
8505,Admin Office,24,40,90,8.03,2001
9661,UPS Building,39,50,70,13.46,1986
8059,Ground Terminal T1,28,30,70,13.15,1997
260,Admin Office,22,40,70,12.86,2003
2427,Heating - Cooling Plant,58,60,70,3.7,1967
2139,Communication Facility,20,60,70,37.48,2005
1413,Ops Facility T1,17,50,70,30.05,2008
3981,Data Center,16,40,70,22.93,2009
3330,Ground Terminal T1,19,30,70,9.94,2006
3878,Fuel intake Facility,30,30,70,0.0,1995
3729,Ops Facility T1,42,50,2,11.72,1983
5857,Switching Station,30,30,70,0.0,1995
5099,Maintenance Shop,34,40,70,6.16,1991
2735,Dorm Facility,12,50,70,32.43,2013
8753,Maintenance Shop,4,40,69,31.29,2021
2848,Fuel Farm,24,40,70,11.99,2001
1540,Fuel Building,36,50,70,22.56,1989
32,Equipment Pad,20,20,69,0.0,2005
2628,Communication Facility,14,60,70,52.55,2011
2157,Fuel intake Facility,18,30,70,12.96,2007
6764,Equipment Pad,20,20,70,0.16,2005
8697,Communication Facility,31,60,10,35.7,1994
9818,Water Treatment Facility,11,30,70,15.81,2014
2778,Fuel Building,39,50,70,6.9,1986
7869,Entry control point,30,30,70,0.65,1995
7584,Ops Facility T1,16,50,70,38.0,2009
5566,Power generation Facility,29,60,70,24.72,1996
6995,Fuel intake Facility,16,30,70,22.25,2009
3199,Fuel Farm,34,40,70,6.73,1991
1759,Central Utility Plant,17,50,70,32.84,2008
3741,Radome Facility,20,30,70,11.66,2005
4759,Switching Station,23,30,23,6.99,2002
2644,Water Treatment Facility,19,30,70,8.24,2006
149,Receiver Station,30,30,70,0.0,1995
9805,Ground Terminal T1,22,30,70,1.34,2003
390,Equipment Pad,20,20,70,3.62,2005
4081,Antenna support building,13,30,70,19.63,2012
3249,UPS Building,18,50,70,35.72,2007
3684,Truck fill stand,26,30,70,4.01,1999
7840,Fuel intake Facility,16,30,93,8.93,2009
7804,Utility corridor,35,60,70,26.44,1990
7011,Power generation Facility,9,60,70,51.04,2016
4542,Fuel Building,50,50,70,2.26,1975
7473,Equipment Pad,20,20,70,0.0,2005
1058,Fuel Farm,25,40,70,17.47,2000
6034,Dorm Facility,15,50,71,38.76,2010
1188,Fuel Building,39,50,70,12.39,1986
3219,Data Center,22,40,70,15.62,2003
6630,Power generation Facility,38,60,70,22.69,1987
7186,Fuel Building,30,50,93,21.61,1995
119,Utility corridor,25,60,70,37.16,2000
925,Fuel Farm,40,40,70,0.0,1985
5590,UPS Building,19,50,70,29.25,2006
5329,Communication Facility,55,60,70,4.49,1970
1539,Receiver Station,26,30,70,8.37,1999
4094,Ground Terminal T1,25,30,70,0.0,2000
4653,Pump Station,36,40,70,0.27,1989
8166,Water Treatment Facility,30,30,70,1.96,1995
1095,Entry control point,27,30,70,6.12,1998
2340,Fuel Farm,37,40,70,8.52,1988
9005,Ops Facility T1,36,50,70,11.65,1989
2441,Fuel Farm,40,40,70,1.48,1985
7828,Storage Facility,11,60,70,51.89,2014
800,Receiver Station,30,30,70,0.0,1995
5028,Communication Facility,29,60,86,24.03,1996
6354,Maintenance Shop,25,40,70,28.92,2000
5280,Equipment Pad,17,20,4,0.0,2008
8480,Central Utility Plant,23,50,70,21.33,2002
6916,Admin Office,35,40,70,2.13,1990
4225,Maintenance Shop,34,40,70,3.84,1991
4819,Equipment Pad,20,20,70,8.45,2005
5341,Pump Station,1,40,70,39.06,2024
8822,Fuel Building,49,50,70,1.65,1976
3845,Communication Facility,4,60,70,59.63,2021
2090,Ground Terminal T1,14,30,37,16.85,2011
4047,Ground monitoring Station,30,30,70,0.0,1995
3360,Dorm Facility,11,50,70,39.95,2014
1538,Fuel Farm,32,40,27,11.07,1993
7077,Standby Generator,26,30,70,9.4,1999
7200,Antenna support building,30,30,87,8.96,1995
7267,Antenna support building,7,30,70,17.06,2018
1920,Truck fill stand,13,30,70,16.33,2012
8686,UPS Building,26,50,70,32.26,1999
9850,Fuel Building,19,50,70,29.4,2006
9524,Utility corridor,20,60,70,31.9,2005
8037,Fuel Farm,39,40,70,0.0,1986
6244,Maintenance Shop,26,40,70,8.87,1999
8791,Standby Generator,22,30,70,5.56,2003
7243,Admin Office,27,40,70,10.69,1998
9228,Fuel Building,3,50,97,48.17,2022
2208,Ops Facility T1,20,50,70,29.56,2005
8851,Substation,30,30,70,0.0,1995
1481,Dorm Facility,7,50,70,41.55,2018
3497,Switching Station,30,30,70,6.44,1995
5171,Ops Facility T1,44,50,6,9.69,1981
2083,Standby Generator,30,30,70,0.0,1995
9817,Substation,30,30,70,0.0,1995
3252,Data Center,21,40,99,19.19,2004
726,Admin Office,38,40,70,1.73,1987
6961,Heating - Cooling Plant,20,60,40,40.15,2005
1829,Entry control point,20,30,3,9.6,2005
9134,Standby Generator,19,30,70,19.15,2006
9130,Admin Office,36,40,48,2.59,1989
2149,Central Utility Plant,15,50,37,36.36,2010
6063,Water Treatment Facility,13,30,95,10.51,2012
609,Ground Terminal T1,26,30,70,11.04,1999
2289,Utility corridor,19,60,70,37.39,2006
5339,UPS Building,32,50,70,22.04,1993
1916,Pump Station,38,40,71,14.39,1987
7472,Substation,11,30,69,14.23,2014
5786,UPS Building,3,50,70,38.83,2022
9811,Utility corridor,13,60,70,49.0,2012
2816,Radome Facility,26,30,70,3.81,1999
9380,Truck fill stand,30,30,71,0.0,1995
3040,Truck fill stand,15,30,70,20.24,2010
3513,Radome Facility,20,30,70,15.04,2005
7701,Storage Facility,25,60,70,37.1,2000
401,Admin Office,37,40,70,0.0,1988
9468,Fuel Building,1,50,70,45.9,2024
4659,Antenna support building,28,30,70,0.9,1997
3275,Radome Facility,30,30,70,6.47,1995
9714,Truck fill stand,27,30,70,0.0,1998
1085,Receiver Station,21,30,70,6.69,2004
9418,Fuel Building,36,50,70,7.85,1989
7692,Entry control point,30,30,70,1.68,1995
9522,Maintenance Shop,39,40,70,0.0,1986
3950,Dorm Facility,50,50,70,5.24,1975
661,Receiver Station,26,30,70,1.15,1999
2865,Utility corridor,26,60,70,36.41,1999
3932,Antenna support building,29,30,70,0.0,1996
7356,UPS Building,6,50,35,40.44,2019
830,Water Treatment Facility,30,30,70,0.91,1995
9422,Data Center,33,40,70,0.0,1992
2480,Fuel intake Facility,30,30,70,5.54,1995
2641,Equipment Pad,15,20,70,7.77,2010
7222,Ground monitoring Station,30,30,69,0.0,1995
4275,Receiver Station,27,30,70,0.0,1998
8080,Power generation Facility,28,60,70,31.87,1997
6298,Data Center,17,40,70,18.94,2008
5018,Central Utility Plant,41,50,70,8.61,1984
646,Fuel Farm,20,40,94,19.05,2005
5488,Utility corridor,45,60,71,9.33,1980
7680,Ground monitoring Station,30,30,88,4.92,1995
7952,Antenna support building,30,30,70,0.0,1995
6292,Standby Generator,30,30,70,0.0,1995
9,Antenna support building,20,30,70,12.4,2005
1280,Entry control point,19,30,70,15.67,2006
7002,Radome Facility,24,30,70,5.3,2001
2557,Substation,13,30,70,22.33,2012
175,Dorm Facility,25,50,70,26.84,2000
6457,Equipment Pad,17,20,70,0.0,2008
2816,Admin Office,23,40,70,27.5,2002
4068,Antenna support building,30,30,71,0.0,1995
3341,Antenna support building,21,30,70,3.56,2004
1532,Pump Station,10,40,70,44.23,2015
4249,Equipment Pad,20,20,70,0.0,2005
8002,Receiver Station,10,30,70,16.0,2015
8880,Power generation Facility,18,60,70,44.73,2007
3709,Maintenance Shop,3,40,70,40.76,2022
1035,Pump Station,25,40,70,17.79,2000
5539,Data Center,38,40,70,4.79,1987
1052,Truck fill stand,30,30,70,3.44,1995
634,Antenna support building,24,30,70,0.61,2001
7346,Ground monitoring Station,27,30,70,2.35,1998
2495,Pump Station,35,40,69,7.17,1990
6812,Radome Facility,17,30,70,17.68,2008
5897,Truck fill stand,30,30,12,1.66,1995
7051,Communication Facility,60,60,70,4.49,1965
9347,Dorm Facility,38,50,70,11.21,1987
7323,UPS Building,21,50,70,29.81,2004
1288,Central Utility Plant,24,50,70,27.08,2001
8050,Admin Office,32,40,70,12.06,1993
9204,Data Center,29,40,70,7.02,1996
4548,UPS Building,47,50,49,6.72,1978
5412,Heating - Cooling Plant,22,60,70,30.93,2003
9522,Receiver Station,29,30,69,4.89,1996
383,Power generation Facility,54,60,70,7.65,1971
623,Communication Facility,22,60,70,39.73,2003
8574,Pump Station,40,40,70,1.02,1985
4156,Pump Station,15,40,70,29.45,2010
1019,Pump Station,22,40,70,19.51,2003
4582,Central Utility Plant,18,50,70,36.04,2007
9917,Utility corridor,27,60,70,37.39,1998
87,Equipment Pad,20,20,70,0.0,2005
1298,Switching Station,23,30,70,8.29,2002
1544,Fuel intake Facility,20,30,70,10.08,2005
6272,Pump Station,16,40,70,27.48,2009
6156,UPS Building,23,50,70,26.18,2002
625,Antenna support building,21,30,70,8.51,2004
5152,Fuel Building,15,50,70,24.68,2010
9475,Fuel intake Facility,28,30,70,2.84,1997
1910,Substation,27,30,70,0.0,1998
1122,Utility corridor,6,60,70,55.69,2019
4221,Power generation Facility,43,60,70,23.88,1982
244,Substation,20,30,70,18.05,2005
6573,Fuel intake Facility,16,30,70,3.35,2009
1252,Fuel Building,11,50,70,40.21,2014
6358,Receiver Station,30,30,71,1.22,1995
5364,Dorm Facility,43,50,87,0.0,1982
5479,Pump Station,36,40,70,3.89,1989
9762,Receiver Station,17,30,70,4.01,2008
6178,Receiver Station,30,30,70,0.0,1995
1570,Fuel intake Facility,20,30,70,12.87,2005
666,Maintenance Shop,30,40,70,5.53,1995
7728,Power generation Facility,43,60,70,15.18,1982
2411,Power generation Facility,49,60,70,13.77,1976
5602,Power generation Facility,29,60,70,30.06,1996
9159,UPS Building,15,50,70,35.92,2010
5547,Radome Facility,10,30,70,10.72,2015
659,Maintenance Shop,35,40,69,5.94,1990
3796,Switching Station,29,30,70,5.4,1996
1281,Water Treatment Facility,7,30,70,22.77,2018
8583,Central Utility Plant,12,50,70,25.97,2013
317,Fuel Building,33,50,70,17.52,1992
8694,Maintenance Shop,30,40,70,16.17,1995
4599,Substation,26,30,70,3.4,1999
5270,Admin Office,9,40,70,25.49,2016
3205,Admin Office,20,40,70,18.88,2005
7551,Dorm Facility,18,50,70,18.06,2007
9865,Fuel Farm,33,40,70,4.51,1992
5664,Entry control point,17,30,70,23.05,2008
6100,Dorm Facility,10,50,70,40.33,2015
4503,Receiver Station,30,30,70,0.26,1995
9567,Ground monitoring Station,1,30,12,19.54,2024
133,Ground monitoring Station,30,30,70,0.0,1995
4075,Maintenance Shop,31,40,70,6.97,1994
6067,Communication Facility,47,60,70,10.4,1978
1844,Antenna support building,30,30,70,0.45,1995
4486,UPS Building,21,50,70,29.76,2004
8897,Central Utility Plant,16,50,70,37.87,2009
3976,Equipment Pad,20,20,69,2.84,2005
1383,Ops Facility T1,27,50,70,25.1,1998
6867,UPS Building,24,50,93,17.41,2001
3359,Power generation Facility,43,60,70,13.62,1982
1626,Heating - Cooling Plant,21,60,70,36.03,2004
1408,Equipment Pad,20,20,70,0.0,2005
3004,Truck fill stand,13,30,92,15.46,2012
349,Equipment Pad,20,20,70,0.0,2005
7242,Fuel intake Facility,20,30,70,13.33,2005
5337,Radome Facility,13,30,70,17.3,2012
1350,Power generation Facility,2,60,70,63.23,2023
5155,Admin Office,24,40,70,19.04,2001
4367,Switching Station,20,30,70,8.44,2005
2558,Receiver Station,19,30,70,7.39,2006
5765,Substation,4,30,70,24.72,2021
6191,Entry control point,22,30,70,6.37,2003
4328,Heating - Cooling Plant,43,60,70,9.63,1982
2907,Ground Terminal T1,28,30,70,0.49,1997
8103,Maintenance Shop,40,40,70,4.11,1985
5810,Data Center,12,40,70,30.72,2013
6563,Heating - Cooling Plant,6,60,70,56.55,2019
3062,UPS Building,22,50,70,24.75,2003
621,UPS Building,25,50,70,28.04,2000
4552,Admin Office,39,40,70,0.0,1986
7207,Fuel Farm,34,40,70,14.12,1991
7581,Fuel intake Facility,24,30,90,11.86,2001
5064,Truck fill stand,2,30,70,25.6,2023
5168,Pump Station,22,40,70,18.97,2003
3030,Antenna support building,30,30,70,0.2,1995
1443,Antenna support building,29,30,70,0.0,1996
714,Dorm Facility,8,50,70,35.33,2017
1251,Water Treatment Facility,20,30,70,2.52,2005
1861,Fuel Farm,27,40,70,13.28,1998
7967,Central Utility Plant,20,50,70,22.91,2005
9079,Radome Facility,30,30,88,0.0,1995
930,Standby Generator,14,30,70,23.51,2011
4324,Utility corridor,16,60,70,39.57,2009
1096,Ground monitoring Station,21,30,70,10.6,2004
3018,Utility corridor,31,60,20,28.24,1994
3494,Antenna support building,30,30,70,6.69,1995
7048,Heating - Cooling Plant,38,60,70,13.71,1987
4375,Utility corridor,31,60,70,25.19,1994
2666,Storage Facility,36,60,14,27.41,1989
2605,Data Center,33,40,70,14.01,1992
3471,Antenna support building,26,30,70,7.81,1999
654,Ops Facility T1,50,50,5,0.0,1975
8525,Receiver Station,20,30,70,5.89,2005
6916,Maintenance Shop,38,40,70,0.92,1987
8682,Receiver Station,11,30,70,20.57,2014
8468,Admin Office,31,40,70,1.9,1994
9945,Switching Station,20,30,70,9.44,2005
1677,Receiver Station,25,30,70,8.61,2000
8111,Truck fill stand,30,30,70,0.26,1995
2693,Data Center,34,40,70,6.03,1991
5294,Switching Station,20,30,70,10.37,2005
3094,Entry control point,30,30,70,2.99,1995
9146,Communication Facility,9,60,42,40.34,2016
8136,Fuel Farm,26,40,70,15.94,1999
7204,Standby Generator,25,30,70,10.12,2000
3358,Pump Station,22,40,70,8.19,2003
2301,Dorm Facility,32,50,70,20.31,1993
594,Central Utility Plant,20,50,28,19.85,2005
9314,Communication Facility,45,60,90,15.22,1980
6327,Ground Terminal T1,30,30,70,3.53,1995
1682,Power generation Facility,18,60,70,40.13,2007
7058,Receiver Station,23,30,70,7.01,2002
9996,Water Treatment Facility,30,30,70,0.0,1995
55,Data Center,35,40,70,0.12,1990
5195,Fuel intake Facility,21,30,70,4.24,2004
2675,Power generation Facility,27,60,70,34.79,1998
3428,Utility corridor,24,60,70,41.42,2001
2756,Ops Facility T1,20,50,95,37.66,2005
2680,Power generation Facility,39,60,22,14.14,1986
9019,Truck fill stand,30,30,70,4.64,1995
1793,Data Center,21,40,70,15.62,2004
5011,Antenna support building,28,30,70,0.0,1997
9840,Heating - Cooling Plant,25,60,70,35.5,2000
1988,Ops Facility T1,39,50,70,4.31,1986
5784,Power generation Facility,28,60,70,32.48,1997
9379,Truck fill stand,21,30,70,5.99,2004
7201,Heating - Cooling Plant,55,60,70,1.06,1970
7104,Equipment Pad,4,20,87,10.15,2021
5997,Data Center,30,40,70,9.95,1995
5981,Dorm Facility,6,50,70,36.0,2019
5413,Fuel Building,43,50,70,7.47,1982
3730,Fuel intake Facility,27,30,70,1.89,1998
1022,Power generation Facility,17,60,70,44.45,2008
1331,Fuel intake Facility,20,30,70,14.45,2005
1856,Central Utility Plant,32,50,70,18.85,1993
4413,Ground monitoring Station,25,30,70,3.83,2000
7118,Fuel Building,39,50,70,6.72,1986
9306,Storage Facility,10,60,70,47.89,2015
1277,Standby Generator,30,30,70,0.0,1995
8795,Admin Office,20,40,70,8.65,2005
9768,Receiver Station,21,30,70,12.89,2004
952,Standby Generator,15,30,70,5.07,2010
4199,Substation,30,30,70,5.22,1995
3044,Pump Station,5,40,70,38.57,2020
4487,Maintenance Shop,13,40,70,38.49,2012
7949,Central Utility Plant,27,50,14,30.27,1998
1624,Water Treatment Facility,2,30,70,24.05,2023
2183,Receiver Station,26,30,70,4.05,1999
2579,Radome Facility,22,30,70,16.66,2003
8132,Switching Station,30,30,71,0.0,1995
1319,Admin Office,37,40,70,5.45,1988
3170,Data Center,18,40,70,12.02,2007
6988,Central Utility Plant,20,50,70,35.96,2005
355,Radome Facility,23,30,70,11.55,2002
1978,Admin Office,35,40,70,0.09,1990
9243,UPS Building,24,50,29,24.97,2001
4893,Entry control point,6,30,70,24.29,2019
4219,Antenna support building,22,30,86,4.93,2003
3721,Entry control point,2,30,70,36.1,2023
9778,Storage Facility,17,60,70,43.38,2008
923,Truck fill stand,23,30,70,14.97,2002
1188,Data Center,26,40,70,10.68,1999
6593,Ground Terminal T1,1,30,71,26.18,2024
2826,Fuel intake Facility,28,30,70,0.0,1997
1471,Fuel Farm,28,40,70,14.71,1997
3038,Ground monitoring Station,22,30,29,6.08,2003
2489,Receiver Station,6,30,70,23.66,2019
3195,Heating - Cooling Plant,30,60,70,28.59,1995
4155,Fuel intake Facility,23,30,70,5.78,2002
1371,Communication Facility,1,60,69,50.96,2024
2585,Substation,7,30,70,25.59,2018
6405,Dorm Facility,8,50,70,40.99,2017
431,Entry control point,30,30,69,4.57,1995
1539,Switching Station,20,30,70,8.37,2005
9360,Storage Facility,53,60,70,12.11,1972
7599,Power generation Facility,37,60,70,24.36,1988
4405,Power generation Facility,23,60,70,46.14,2002
4843,UPS Building,20,50,70,28.04,2005
503,UPS Building,10,50,70,39.95,2015
3510,Utility corridor,55,60,70,12.11,1970
5947,Truck fill stand,25,30,70,16.78,2000
6290,Ground monitoring Station,21,30,71,9.03,2004
3433,Fuel Farm,29,40,70,9.57,1996
5895,Switching Station,22,30,93,3.57,2003
6001,Storage Facility,18,60,14,47.97,2007
8295,Fuel Farm,24,40,70,24.5,2001
2667,Switching Station,22,30,70,5.0,2003
8088,Equipment Pad,20,20,70,5.18,2005
2524,Fuel Farm,2,40,70,36.27,2023
9389,Receiver Station,23,30,70,0.0,2002
2288,Maintenance Shop,17,40,70,28.44,2008
9197,Ground monitoring Station,30,30,71,0.0,1995
3969,Dorm Facility,49,50,46,0.0,1976
5062,Data Center,19,40,70,24.22,2006
9563,Water Treatment Facility,26,30,70,7.13,1999
3812,Antenna support building,22,30,16,4.22,2003
122,Pump Station,14,40,69,25.15,2011
6014,Utility corridor,38,60,18,12.7,1987
7973,Ground monitoring Station,24,30,70,0.0,2001
4912,Ops Facility T1,14,50,70,36.93,2011
7690,Radome Facility,10,30,70,28.46,2015
3215,Water Treatment Facility,27,30,70,2.66,1998
780,Antenna support building,6,30,70,29.23,2019
896,Communication Facility,20,60,70,37.97,2005
5561,Antenna support building,21,30,37,22.04,2004
