facility_number,facility_type,age_years,expected_life_years,condition_index,remaining_service_life,year_constructed
9673,Maintenance Shop,15,40,70,34.1,2010
7355,Truck fill stand,2,30,70,25.69,2023
585,Fuel intake Facility,30,30,70,0.0,1995
6010,Fuel Building,33,50,70,17.62,1992
2344,Fuel intake Facility,21,30,71,11.2,2004
1219,Fuel Farm,28,40,70,16.32,1997
2709,Pump Station,19,40,70,21.1,2006
4011,Admin Office,39,40,70,1.75,1986
185,Entry control point,30,30,70,0.91,1995
3561,Truck fill stand,30,30,70,0.0,1995
1632,Fuel Farm,12,40,70,19.68,2013
7582,Ground Terminal T1,29,30,70,0.0,1996
119,Substation,26,30,70,0.0,1999
6481,Central Utility Plant,19,50,70,25.46,2006
4437,Equipment Pad,20,20,70,2.04,2005
5661,Storage Facility,30,60,70,25.16,1995
9284,Central Utility Plant,29,50,70,13.2,1996
7953,Admin Office,15,40,70,20.06,2010
8165,Data Center,24,40,70,15.2,2001
7870,Admin Office,25,40,70,12.99,2000
8764,Fuel Building,32,50,70,20.46,1993
187,Ground Terminal T1,27,30,92,5.01,1998
8232,Data Center,39,40,70,1.1,1986
4127,Pump Station,29,40,70,12.88,1996
1794,Heating - Cooling Plant,60,60,70,0.0,1965
8385,Equipment Pad,20,20,70,8.74,2005
6690,Heating - Cooling Plant,45,60,70,9.96,1980
8669,Fuel intake Facility,30,30,70,0.0,1995
2695,Fuel Building,49,50,70,0.0,1976
415,Heating - Cooling Plant,34,60,35,29.7,1991
7332,Admin Office,38,40,70,0.0,1987
4820,Radome Facility,24,30,70,6.56,2001
8061,Storage Facility,20,60,70,36.83,2005
4609,Admin Office,20,40,70,23.76,2005
9640,Equipment Pad,12,20,70,11.21,2013
4200,Ground monitoring Station,30,30,70,0.0,1995
3961,Dorm Facility,41,50,70,13.59,1984
4435,Central Utility Plant,23,50,70,29.38,2002
4151,Fuel Farm,28,40,70,14.62,1997
7459,Pump Station,28,40,70,13.7,1997
5787,Ground Terminal T1,30,30,70,4.37,1995
8851,UPS Building,5,50,70,46.44,2020
3906,Maintenance Shop,14,40,70,28.57,2011
9511,Fuel Building,14,50,70,32.25,2011
7003,Storage Facility,49,60,70,16.38,1976
8404,Heating - Cooling Plant,56,60,71,1.41,1969
5421,Ops Facility T1,24,50,70,30.45,2001
379,Fuel Building,18,50,70,31.85,2007
8570,Pump Station,20,40,70,23.69,2005
7320,Utility corridor,36,60,70,28.64,1989
4763,Equipment Pad,20,20,69,1.15,2005
1577,Fuel Building,11,50,70,39.76,2014
5707,Heating - Cooling Plant,25,60,70,30.79,2000
5291,UPS Building,33,50,70,11.35,1992
9051,Truck fill stand,30,30,16,13.31,1995
3353,Radome Facility,27,30,70,0.93,1998
4986,Water Treatment Facility,26,30,95,0.0,1999
5119,Maintenance Shop,26,40,70,9.5,1999
4641,Entry control point,24,30,70,12.5,2001
7537,Ops Facility T1,36,50,46,15.28,1989
1050,Truck fill stand,30,30,70,8.39,1995
9754,Fuel intake Facility,20,30,70,18.13,2005
2364,Radome Facility,24,30,70,15.42,2001
9448,Ops Facility T1,20,50,70,30.56,2005
1372,Water Treatment Facility,7,30,70,23.02,2018
7407,Dorm Facility,46,50,70,5.77,1979
1251,Maintenance Shop,23,40,70,18.31,2002
4301,Equipment Pad,20,20,69,0.0,2005
5829,Pump Station,37,40,70,0.89,1988
8895,Standby Generator,24,30,70,3.45,2001
5498,Ground Terminal T1,27,30,1,0.0,1998
1694,Switching Station,20,30,70,8.47,2005
1097,Central Utility Plant,13,50,70,38.89,2012
6053,Ops Facility T1,30,50,70,18.57,1995
1953,Heating - Cooling Plant,26,60,70,45.12,1999
6533,Dorm Facility,50,50,87,2.22,1975
8359,Communication Facility,21,60,70,35.44,2004
3873,Central Utility Plant,18,50,70,31.8,2007
3547,Substation,29,30,70,3.09,1996
4265,Power generation Facility,18,60,70,55.87,2007
9112,Heating - Cooling Plant,27,60,70,33.77,1998
